,statistic,signif.level,dif.com.obs.dif,dif.com.critical.dif,dif.com.difference,,,
agm_200_20200_1.0_layer-agm_50_5050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,38,3,83,7271488159369,FALSE
agm_200_20200_1.0_layer-agm_50_5050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,30,7,83,7271488159369,FALSE
agm_200_60200_0.9_layer-agm_200_60200_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,1,2,83,7271488159369,FALSE
agm_200_60200_0.9_layer-agm_50_15050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,70,2,83,7271488159369,FALSE
agm_200_60200_0.9_layer-agm_50_15050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,66,1,83,7271488159369,FALSE
agm_200_60200_0.9_layer-agm_50_45050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,31,1,83,7271488159369,FALSE
agm_200_60200_0.9_layer-agm_50_45050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,3,39999999999999,83,7271488159369,FALSE
agm_200_60200_0.9_layer-agm_50_5050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,108,3,83,7271488159369,TRUE
agm_200_60200_0.9_layer-agm_50_5050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,100,7,83,7271488159369,TRUE
agm_200_60200_1.0_layer-agm_50_15050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,69,83,7271488159369,,FALSE
agm_200_60200_1.0_layer-agm_50_15050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,64,9,83,7271488159369,FALSE
agm_200_60200_1.0_layer-agm_50_45050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,29,9,83,7271488159369,FALSE
agm_200_60200_1.0_layer-agm_50_45050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,2,19999999999999,83,7271488159369,FALSE
agm_200_60200_1.0_layer-agm_50_5050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,107,1,83,7271488159369,TRUE
agm_200_60200_1.0_layer-agm_50_5050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,99,5,83,7271488159369,TRUE
agm_50_15050_0.9_layer-agm_50_15050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,4,1,83,7271488159369,FALSE
agm_50_15050_0.9_layer-agm_50_45050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,39,1,83,7271488159369,FALSE
agm_50_15050_0.9_layer-agm_50_45050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,66,8,83,7271488159369,FALSE
agm_50_15050_0.9_layer-agm_50_5050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,38,1,83,7271488159369,FALSE
agm_50_15050_0.9_layer-agm_50_5050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,30,5,83,7271488159369,FALSE
agm_50_15050_1.0_layer-agm_50_45050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,35,83,7271488159369,,FALSE
agm_50_15050_1.0_layer-agm_50_45050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,62,7,83,7271488159369,FALSE
agm_50_15050_1.0_layer-agm_50_5050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,42,2,83,7271488159369,FALSE
agm_50_15050_1.0_layer-agm_50_5050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,34,6,83,7271488159369,FALSE
agm_50_45050_0.9_layer-agm_50_45050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,27,7,83,7271488159369,FALSE
agm_50_45050_0.9_layer-agm_50_5050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,77,2,83,7271488159369,FALSE
agm_50_45050_0.9_layer-agm_50_5050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,69,6,83,7271488159369,FALSE
agm_50_45050_1.0_layer-agm_50_5050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,104,9,83,7271488159369,TRUE
agm_50_45050_1.0_layer-agm_50_5050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,97,3,83,7271488159369,TRUE
agm_50_5050_0.9_layer-agm_50_5050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,7,6,83,7271488159369,FALSE
